Total score,Finland,Belgium,Portugal,Germany,Norway,Monaco,Spain,Switzerland,Yugoslavia,Italy,Luxembourg,Sweden,Netherlands,Ireland,United Kingdom,France,Israel,Country,Year
93,,9,5,6,6,5,6,6,7,2,6,7,5,5,9,4,5,Finland,1973
58,4,,3,4,3,6,6,4,4,2,4,2,3,4,5,2,2,Belgium,1973
80,4,6,,5,5,4,8,8,6,3,4,2,5,4,5,6,5,Portugal,1973
85,2,5,6,,4,5,9,7,4,3,7,6,5,6,5,7,4,Germany,1973
89,8,5,5,6,,7,6,7,6,5,7,3,3,3,3,6,9,Norway,1973
85,6,3,2,4,3,,6,5,9,8,6,4,5,6,9,5,4,Monaco,1973
125,3,8,9,9,4,9,,8,9,10,8,7,10,10,4,9,8,Spain,1973
79,4,3,3,4,7,5,7,,6,4,6,3,8,7,7,2,3,Switzerland,1973
65,5,3,3,4,2,5,8,6,,2,4,2,4,5,4,4,4,Yugoslavia,1973
74,2,5,3,5,5,5,5,7,5,,5,5,4,4,5,5,4,Italy,1973
129,6,6,8,7,8,7,6,10,9,9,,8,9,8,10,10,8,Luxembourg,1973
94,8,4,4,5,8,5,7,9,6,5,6,,6,5,7,4,5,Sweden,1973
69,4,4,2,5,5,4,5,5,5,4,7,3,,5,3,6,2,Netherlands,1973
80,3,7,2,4,6,6,7,5,5,5,6,5,6,,5,4,4,Ireland,1973
123,9,6,6,7,7,8,4,8,8,5,10,9,10,9,,8,9,United Kingdom,1973
65,4,3,2,4,4,5,5,4,7,2,3,5,5,5,5,,2,France,1973
97,6,6,5,7,5,7,4,6,7,7,8,6,6,7,5,5,,Israel,1973
