Contestants,Total score,Jury score,Televoting score,Netherlands,San Marino,North Macedonia,Malta,Ukraine,Albania,Estonia,Azerbaijan,Portugal,Germany,Belgium,Norway,Israel,Poland,Greece,Moldova,Bulgaria,Serbia,Iceland,Cyprus,Latvia,Spain,Switzerland,Denmark,France,Armenia,Montenegro,Romania,Ireland,Slovenia,Georgia,Croatia,Lithuania,Austria,Finland,United Kingdom,Sweden,Australia,Czech Republic,Italy,Year
Czech Republic,38,33,5,,,,3.0,1.0,,,,,,2.0,,2.0,,2.0,,,3.0,2.0,,,,,,2.0,,,,7.0,,,,,,,,5.0,4.0,,,2022
Romania,65,12,53,,,,,,,,,,1.0,,,,,7.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2022
Portugal,207,171,36,8.0,,,,10.0,1.0,7.0,7.0,,,5.0,10.0,,7.0,3.0,2.0,4.0,7.0,5.0,,6.0,,5.0,8.0,1.0,8.0,4.0,7.0,4.0,3.0,7.0,10.0,8.0,10.0,,3.0,,6.0,5.0,,2022
Finland,38,12,26,,,,,,,5.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,2022
Switzerland,78,78,0,10.0,1.0,1.0,,6.0,,,,2.0,2.0,,1.0,,5.0,,7.0,7.0,,,,3.0,1.0,,2.0,,,,5.0,,5.0,,1.0,7.0,1.0,,2.0,,,6.0,3.0,2022
France,17,9,8,,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,,,,,,,,,,2022
Norway,182,36,146,3.0,,,,,,,,,3.0,,,,,,,2.0,,8.0,,5.0,,1.0,,,,,,,,,,,5.0,4.0,,3.0,,2.0,,2022
Armenia,61,40,21,,,,,2.0,4.0,,,1.0,,,4.0,,,,,5.0,,,,,,,,7.0,,,,,,,,,6.0,1.0,,2.0,,,8.0,2022
Italy,268,158,110,,3.0,7.0,7.0,,12.0,10.0,10.0,,,8.0,,8.0,4.0,1.0,,1.0,,6.0,1.0,,10.0,2.0,,,10.0,10.0,4.0,6.0,12.0,10.0,4.0,4.0,3.0,2.0,,,3.0,,,2022
Spain,459,231,228,5.0,12.0,12.0,12.0,,5.0,,5.0,12.0,8.0,10.0,7.0,3.0,1.0,5.0,3.0,8.0,4.0,3.0,6.0,,,8.0,4.0,5.0,12.0,8.0,1.0,12.0,1.0,5.0,6.0,5.0,2.0,,10.0,12.0,12.0,7.0,,2022
Netherlands,171,129,42,,,,,8.0,6.0,1.0,4.0,7.0,4.0,,5.0,1.0,3.0,4.0,,,,4.0,,4.0,,10.0,10.0,4.0,4.0,3.0,3.0,,7.0,4.0,2.0,6.0,8.0,5.0,,,,,12.0,2022
Ukraine,631,192,439,,2.0,,,,7.0,,6.0,8.0,10.0,6.0,3.0,7.0,12.0,,12.0,,,10.0,7.0,12.0,,3.0,5.0,10.0,6.0,6.0,12.0,3.0,8.0,6.0,8.0,12.0,,,,,7.0,4.0,,2022
Germany,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Lithuania,128,35,93,,,,,,,2.0,,5.0,,,2.0,,,,,,2.0,1.0,,1.0,,,3.0,,,2.0,,,10.0,,7.0,,,,,,,,,2022
Azerbaijan,106,103,3,,7.0,4.0,2.0,5.0,3.0,3.0,,,6.0,3.0,,,,12.0,1.0,3.0,12.0,,10.0,,12.0,,,,,1.0,,,,,,,,3.0,7.0,7.0,2.0,,,2022
Belgium,64,59,5,6.0,,3.0,,,2.0,,,,,,,4.0,,,4.0,6.0,8.0,,2.0,,5.0,,,6.0,,,,,,,,,,,,1.0,5.0,,7.0,2022
Greece,215,158,57,12.0,10.0,,1.0,7.0,,6.0,3.0,4.0,,,12.0,,2.0,,,12.0,,,12.0,7.0,2.0,12.0,12.0,3.0,2.0,,2.0,,4.0,3.0,3.0,,4.0,6.0,4.0,,,3.0,10.0,2022
Iceland,20,10,10,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,2022
Moldova,253,14,239,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,2022
Sweden,438,258,180,1.0,5.0,6.0,10.0,4.0,8.0,12.0,8.0,,7.0,7.0,8.0,12.0,10.0,,8.0,,5.0,12.0,5.0,10.0,7.0,7.0,7.0,,5.0,7.0,10.0,10.0,,8.0,5.0,3.0,7.0,12.0,12.0,,10.0,10.0,,2022
Australia,125,123,2,7.0,6.0,5.0,6.0,3.0,,8.0,,,5.0,1.0,,5.0,6.0,8.0,6.0,,,,8.0,2.0,8.0,4.0,,,,,6.0,2.0,,,,,,8.0,6.0,10.0,,1.0,2.0,2022
United Kingdom,466,283,183,4.0,8.0,8.0,8.0,12.0,10.0,4.0,12.0,10.0,12.0,12.0,6.0,10.0,8.0,,10.0,10.0,1.0,7.0,3.0,8.0,3.0,6.0,6.0,12.0,,5.0,8.0,8.0,2.0,12.0,,10.0,12.0,10.0,,8.0,,12.0,6.0,2022
Poland,151,46,105,,4.0,2.0,4.0,,,,2.0,,,,,6.0,,10.0,,,,,,,,,,8.0,,,,,,2.0,,,,,8.0,,,,,2022
Serbia,312,87,225,,,10.0,,,,,,3.0,,4.0,,,,,,,,,4.0,,6.0,,,,,12.0,,5.0,6.0,,12.0,1.0,,7.0,1.0,4.0,8.0,,4.0,2022
Estonia,141,43,98,,,,5.0,,,,,,,,,,,,5.0,,10.0,,,,,,,,3.0,,,,,,,,,,5.0,6.0,1.0,8.0,,2022
