Total score,Switzerland,Austria,Germany,Belgium,Denmark,Sweden,Luxembourg,France,Netherlands,Italy,Country,Year
13,1,1,4,4,,1,,1,1,,Italy,1958
1,1,,,,,,,,,,Netherlands,1958
27,1,7,1,1,9,1,1,,,6,France,1958
1,1,,,,,,,,,,Luxembourg,1958
10,3,1,,1,,,3,,2,,Sweden,1958
3,,,,,,1,,1,1,,Denmark,1958
8,1,,5,,1,1,,,,,Belgium,1958
5,,1,,1,,1,,2,,,Germany,1958
8,2,,,1,,1,1,3,,,Austria,1958
24,,,,2,,4,5,3,6,4,Switzerland,1958
