Country,Artist,Song,Language[7][8],Points,Place[9],Order,Year
Spain,Serafín,"""Todo esto es la música""",Spanish,37,14,1,1992
Belgium,Morgane,"""Nous, on veut des violons""",French,11,20,2,1992
Israel,Dafna,"""Ze Rak Sport"" (זה רק ספורט)",Hebrew,85,6,3,1992
Turkey,Aylin Vatankoş,"""Yaz Bitti""",Turkish,17,19,4,1992
Greece,Cleopatra,"""Olou tou kosmou i Elpida"" (Όλου του κόσμου η Ελπίδα)",Greek,94,5,5,1992
France,Kali,"""Monte la riviè""","French, Antillean Creole",73,8,6,1992
Sweden,Christer Björkman,"""I morgon är en annan dag""",Swedish,9,22,7,1992
Portugal,Dina,"""Amor d'água fresca""",Portuguese,26,17,8,1992
Cyprus,Evridiki,"""Teriazoume"" (Ταιριάζουμε)",Greek,57,11,9,1992
Malta,Mary Spiteri,"""Little Child""",English,123,3,10,1992
Iceland,Heart 2 Heart,"""Nei eða já""",Icelandic,80,7,11,1992
Finland,Pave,"""Yamma, yamma""",Finnish,4,23,12,1992
Switzerland,Daisy Auvray,"""Mister Music Man""",French,32,15,13,1992
Luxembourg,Marion Welter and Kontinent,"""Sou fräi""",Luxembourgish,10,21,14,1992
Austria,Tony Wegas,"""Zusammen geh'n""",German,63,10,15,1992
United Kingdom,Michael Ball,"""One Step Out of Time""",English,139,2,16,1992
Ireland,Linda Martin,"""Why Me?""",English,155,1,17,1992
Denmark,Lotte Nilsson and Kenny Lübcke,"""Alt det som ingen ser""",Danish,47,12,18,1992
Italy,Mia Martini,"""Rapsodia""",Italian,111,4,19,1992
 Yugoslavia,Extra Nena,"""Ljubim te pesmama"" (Љубим те песмама)",Serbian,44,13,20,1992
Norway,Merethe Trøan,"""Visjoner""",Norwegian,23,18,21,1992
Germany,Wind,"""Träume sind für alle da""",German,27,16,22,1992
Netherlands,Humphrey Campbell,"""Wijs me de weg""",Dutch,67,9,23,1992
