Country,Artist,Song,Language[6][7],Points,Place[8],Order,Year
Spain,Conchita Bautista,"""Estando contigo""",Spanish,8,9,1,1961
Monaco,Colette Deréal,"""Allons, allons les enfants""",French,6,10,2,1961
Austria,Jimmy Makulis,"""Sehnsucht""",German,1,15,3,1961
Finland,Laila Kinnunen,"""Valoa ikkunassa""",Finnish,6,10,4,1961
Yugoslavia,Ljiljana Petrović,"""Neke davne zvezde"" (Неке давне звезде)",Serbo-Croatian,9,8,5,1961
Netherlands,Greetje Kauffeld,"""Wat een dag""",Dutch,6,10,6,1961
Sweden,Lill-Babs,"""April, april""",Swedish,2,14,7,1961
Germany,Lale Andersen,"""Einmal sehen wir uns wieder""","German, French",3,13,8,1961
France,Jean-Paul Mauric,"""Printemps, avril carillonne""",French,13,4,9,1961
Switzerland,Franca di Rienzo,"""Nous aurons demain""",French,16,3,10,1961
Belgium,Bob Benny,"""September, gouden roos""",Dutch,1,15,11,1961
Norway,Nora Brockstedt,"""Sommer i Palma""",Norwegian,10,7,12,1961
Denmark,Dario Campeotto,"""Angelique""",Danish,12,5,13,1961
Luxembourg,Jean-Claude Pascal,"""Nous les amoureux""",French,31,1,14,1961
United Kingdom,The Allisons,"""Are You Sure?""",English,24,2,15,1961
Italy,Betty Curtis,"""Al di là""",Italian,12,5,16,1961
