Country,Artist,Song,Language,Points,Place,Order,Year
Lithuania,Aistė,"""Strazdas""",Samogitian,13,20,1,1999
Belgium,Vanessa Chinitor,"""Like the Wind""",English,38,12,2,1999
Spain,Lydia,"""No quiero escuchar""",Spanish,1,23,3,1999
Croatia,Doris Dragović,"""Marija Magdalena""",Croatian,118,4,4,1999
United Kingdom,Precious,"""Say It Again""",English,38,12,5,1999
Slovenia,Darja Švajger,"""For a Thousand Years""",English,50,11,6,1999
Turkey,Tuba Önal and Grup Mistik,"""Dön Artık""",Turkish,21,16,7,1999
Norway,Stig van Eijk,"""Living My Life Without You""",English,35,14,8,1999
Denmark,Trine Jepsen and Michael Teschl,"""This Time I Mean It""",English,71,8,9,1999
France,Nayah,"""Je veux donner ma voix""",French,14,19,10,1999
Netherlands,Marlayne,"""One Good Reason""",English,71,8,11,1999
Poland,Mietek Szcześniak,"""Przytul mnie mocno""",Polish,17,18,12,1999
Iceland,Selma,"""All Out of Luck""",English,146,2,13,1999
Cyprus,Marlain,"""Tha'nai erotas"" (Θα'ναι έρωτας)",Greek,2,22,14,1999
Sweden,Charlotte Nilsson,"""Take Me to Your Heaven""",English,163,1,15,1999
Portugal,Rui Bandeira,"""Como tudo começou""",Portuguese,12,21,16,1999
Ireland,The Mullans,"""When You Need Me""",English,18,17,17,1999
Austria,Bobbie Singer,"""Reflection""",English,65,10,18,1999
Israel,Eden,"""Yom Huledet (Happy Birthday)"" (יום הולדת)","English, Hebrew",93,5,19,1999
Malta,Times Three,"""Believe 'n Peace""",English,32,15,20,1999
Germany,Sürpriz,"""Reise nach Jerusalem – Kudüs'e Seyahat""","German, Turkish, English[g]",140,3,21,1999
Bosnia and Herzegovina,Dino and Béatrice,"""Putnici""","Bosnian, French",86,7,22,1999
Estonia,Evelin Samuel and Camille,"""Diamond of Night""",English,90,6,23,1999
