Country,Artist,Song,Language[6][7],Points,Place[8],Order,Year
Netherlands,Thérèse Steinmetz,"""Ring-dinge-ding""",Dutch,2,14,1,1967
Luxembourg,Vicky,"""L'Amour est bleu""",French,17,4,2,1967
Austria,Peter Horten,"""Warum es hunderttausend Sterne gibt""",German,2,14,3,1967
France,Noëlle Cordier,"""Il doit faire beau là-bas""",French,20,3,4,1967
Portugal,Eduardo Nascimento,"""O vento mudou""",Portuguese,3,12,5,1967
Switzerland,Géraldine,"""Quel cœur vas-tu briser ?""",French,0,17,6,1967
Sweden,Östen Warnerbring,"""Som en dröm""",Swedish,7,8,7,1967
Finland,Fredi,"""Varjoon – suojaan""",Finnish,3,12,8,1967
Germany,Inge Brück,"""Anouschka""",German,7,8,9,1967
Belgium,Louis Neefs,"""Ik heb zorgen""",Dutch,8,7,10,1967
United Kingdom,Sandie Shaw,"""Puppet on a String""",English,47,1,11,1967
Spain,Raphael,"""Hablemos del amor""",Spanish,9,6,12,1967
Norway,Kirsti Sparboe,"""Dukkemann""",Norwegian,2,14,13,1967
Monaco,Minouche Barelli,"""Boum-Badaboum""",French,10,5,14,1967
Yugoslavia,Lado Leskovar,"""Vse rože sveta""",Slovene,7,8,15,1967
Italy,Claudio Villa,"""Non andare più lontano""",Italian,4,11,16,1967
Ireland,Sean Dunphy,"""If I Could Choose""",English,22,2,17,1967
