Country,Artist,Song,Language[4][5],Points,Place[6],Order,Year
Italy,Enrico Ruggeri,"""Sole d'Europa""",Italian,45,12,1,1993
Turkey,Burak Aydos,"""Esmer Yarim""",Turkish,10,21,2,1993
Germany,Münchener Freiheit,"""Viel zu weit""",German,18,18,3,1993
Switzerland,Annie Cotton,"""Moi, tout simplement""",French,148,3,4,1993
Denmark,Tommy Seebach Band,"""Under stjernerne på himlen""",Danish,9,22,5,1993
Greece,Katy Garbi,"""Ellada, hora tou fotos"" (Ελλάδα, χώρα του φωτός)",Greek,64,9,6,1993
Belgium,Barbara,"""Iemand als jij""",Dutch,3,25,7,1993
Malta,William Mangion,"""This Time""",English,69,8,8,1993
Iceland,Inga [is],"""Þá veistu svarið""",Icelandic,42,13,9,1993
Austria,Tony Wegas,"""Maria Magdalena""",German,32,14,10,1993
Portugal,Anabela,"""A cidade (até ser dia)""",Portuguese,60,10,11,1993
France,Patrick Fiori,"""Mama Corsica""","French, Corsican",121,4,12,1993
Sweden,Arvingarna,"""Eloise""",Swedish,89,7,13,1993
Ireland,Niamh Kavanagh,"""In Your Eyes""",English,187,1,14,1993
Luxembourg,Modern Times,"""Donne-moi une chance""","French, Luxembourgish",11,20,15,1993
Slovenia,1X Band,"""Tih deževen dan""",Slovene,9,22,16,1993
Finland,Katri Helena,"""Tule luo""",Finnish,20,17,17,1993
Bosnia and Herzegovina,Fazla,"""Sva bol svijeta""",Bosnian,27,16,18,1993
United Kingdom,Sonia,"""Better the Devil You Know""",English,164,2,19,1993
Netherlands,Ruth Jacott,"""Vrede""",Dutch,92,6,20,1993
Croatia,Put,"""Don't Ever Cry""","Croatian, English",31,15,21,1993
Spain,Eva Santamaría,"""Hombres""",Spanish,58,11,22,1993
Cyprus,Zymboulakis and Van Beke,"""Mi stamatas"" (Μη σταματάς)",Greek,17,19,23,1993
Israel,Lehakat Shiru,"""Shiru"" (שירו)","Hebrew, English",4,24,24,1993
Norway,Silje Vige,"""Alle mine tankar""",Norwegian,120,5,25,1993
