Country,Artist,Song,Language,Points,Place,Order,Year
Belgium,Bobbejaan Schoepen,"""Straatdeuntje""",Dutch,5,8,1,1957
Luxembourg,Danièle Dupré,"""Amours mortes (tant de peine)""",French,8,4,2,1957
United Kingdom,Patricia Bredin,"""All""",English,6,7,3,1957
Italy,Nunzio Gallo,"""Corde della mia chitarra""",Italian,7,6,4,1957
Austria,Bob Martin,"""Wohin, kleines Pony?""",German,3,10,5,1957
Netherlands,Corry Brokken,"""Net als toen""",Dutch,31,1,6,1957
Germany,Margot Hielscher,"""Telefon, Telefon""",German[b],8,4,7,1957
France,Paule Desjardins,"""La Belle amour""",French,17,2,8,1957
Denmark,Birthe Wilke and Gustav Winckler,"""Skibet skal sejle i nat""",Danish,10,3,9,1957
Switzerland,Lys Assia,"""L'Enfant que j'étais""",French,5,8,10,1957
