Country,Artist,Song,Language,Points,Place,Order,Year
Cyprus,Hara and Andreas Konstantinou,"""Mana mou"" (Μάνα μου)",Greek,98,5,1,1997
Turkey,Şebnem Paker and Grup Ethnic,"""Dinle""",Turkish,121,3,2,1997
Norway,Tor Endresen,"""San Francisco""",Norwegian[d],0,24,3,1997
Austria,Bettina Soriat,"""One Step""",German[d],12,21,4,1997
Ireland,Marc Roberts,"""Mysterious Woman""",English,157,2,5,1997
Slovenia,Tanja Ribič,"""Zbudi se""",Slovene,60,10,6,1997
Switzerland,Barbara Berta,"""Dentro di me""",Italian,5,22,7,1997
Netherlands,Mrs. Einstein,"""Niemand heeft nog tijd""",Dutch,5,22,8,1997
Italy,Jalisse,"""Fiumi di parole""",Italian,114,4,9,1997
Spain,Marcos Llunas,"""Sin rencor""",Spanish,96,6,10,1997
Germany,Bianca Shomburg,"""Zeit""",German,22,18,11,1997
Poland,Anna Maria Jopek,"""Ale jestem""",Polish,54,11,12,1997
Estonia,Maarja-Liis Ilus,"""Keelatud maa""",Estonian,82,8,13,1997
Bosnia and Herzegovina,Alma Čardžić,"""Goodbye""",Bosnian,22,18,14,1997
Portugal,Célia Lawson,"""Antes do adeus""",Portuguese,0,24,15,1997
Sweden,Blond,"""Bara hon älskar mig""",Swedish,36,14,16,1997
Greece,Marianna Zorba,"""Horepse"" (Χόρεψε)",Greek,39,12,17,1997
Malta,Debbie Scerri,"""Let Me Fly""",English,66,9,18,1997
Hungary,V.I.P.,"""Miért kell, hogy elmenj?""",Hungarian,39,12,19,1997
Russia,Alla Pugacheva,"""Primadonna"" (Примадонна)",Russian,33,15,20,1997
Denmark,Kølig Kaj,"""Stemmen i mit liv""",Danish,25,16,21,1997
France,Fanny,"""Sentiments songes""",French,95,7,22,1997
Croatia,E.N.I.,"""Probudi me""",Croatian,24,17,23,1997
United Kingdom,Katrina and the Waves,"""Love Shine a Light""",English,227,1,24,1997
Iceland,Paul Oscar,"""Minn hinsti dans""",Icelandic,18,20,25,1997
