Country,Artist,Song,Language[4][5],Points,Place[6],Order,Year
Ireland,Maria Christian,"""Wait Until the Weekend Comes""",English,91,6,1,1985
Finland,Sonja Lumme,"""Eläköön elämä""",Finnish,58,9,2,1985
Cyprus,Lia Vissi,"""To katalava arga"" (Το κατάλαβα αργά)",Greek,15,16,3,1985
Denmark,Hot Eyes,"""Sku' du spørg' fra no'en?""",Danish,41,11,4,1985
Spain,Paloma San Basilio,"""La fiesta terminó""",Spanish,36,14,5,1985
France,Roger Bens,"""Femme dans ses rêves aussi""",French,56,10,6,1985
Turkey,MFÖ,"""Didai didai dai""",Turkish,36,14,7,1985
Belgium,Linda Lepomme,"""Laat me nu gaan""",Dutch,7,19,8,1985
Portugal,Adelaide,"""Penso em ti, eu sei""",Portuguese,9,18,9,1985
Germany,Wind,"""Für alle""",German,105,2,10,1985
Israel,Izhar Cohen,"""Olé, Olé"" (עולה, עולה)",Hebrew,93,5,11,1985
Italy,Al Bano and Romina Power,"""Magic Oh Magic""",Italian,78,7,12,1985
Norway,Bobbysocks!,"""La det swinge""",Norwegian,123,1,13,1985
United Kingdom,Vikki,"""Love Is...""",English,100,4,14,1985
Switzerland,Mariella Farré and Pino Gasparini,"""Piano, piano""",German,39,12,15,1985
Sweden,Kikki Danielsson,"""Bra vibrationer""",Swedish,103,3,16,1985
Austria,Gary Lux,"""Kinder dieser Welt""",German,60,8,17,1985
Luxembourg,"Margo, Franck Olivier, Diane Solomon,Ireen Sheer, Malcolm Roberts and Chris Roberts","""Children, Kinder, Enfants""","French, German, English",37,13,18,1985
Greece,Takis Biniaris,"""Miazoume"" (Μοιάζουμε)",Greek,15,16,19,1985
