Country,Artist,Song,Language[4][5],Points,Place[6],Order,Year
Ireland,Colm C. T. Wilkinson,"""Born to Sing""",English,86,5,1,1978
Norway,Jahn Teigen,"""Mil etter mil""",Norwegian,0,20,2,1978
Italy,Ricchi e Poveri,"""Questo amore""",Italian,53,12,3,1978
Finland,Seija Simola,"""Anna rakkaudelle tilaisuus""",Finnish,2,18,4,1978
Portugal,Gemini,"""Dai li dou""",Portuguese,5,17,5,1978
France,Joël Prévost,"""Il y aura toujours des violons""",French,119,3,6,1978
Spain,José Vélez,"""Bailemos un vals""",Spanish[a],65,9,7,1978
United Kingdom,Co-Co,"""The Bad Old Days""",English,61,11,8,1978
Switzerland,Carole Vinci,"""Vivre""",French,65,9,9,1978
Belgium,Jean Vallée,"""L'Amour ça fait chanter la vie""",French,125,2,10,1978
Netherlands,Harmony,"""'t Is OK""",Dutch,37,13,11,1978
Turkey,Nilüfer and Nazar,"""Sevince""",Turkish,2,18,12,1978
Germany,Ireen Sheer,"""Feuer""",German,84,6,13,1978
Monaco,Caline and Olivier Toussaint,"""Les Jardins de Monaco""",French,107,4,14,1978
Greece,Tania Tsanaklidou,"""Charlie Chaplin"" (Τσάρλυ Τσάπλιν)",Greek,66,8,15,1978
Denmark,Mabel,"""Boom Boom""",Danish,13,16,16,1978
Luxembourg,Baccara,"""Parlez-vous français ?""",French,73,7,17,1978
Israel,Izhar Cohen and the Alphabeta,"""A-Ba-Ni-Bi"" (א-ב-ני-בי)",Hebrew,157,1,18,1978
Austria,Springtime,"""Mrs. Caroline Robinson""",German[b],14,15,19,1978
Sweden,Björn Skifs,"""Det blir alltid värre framåt natten""",Swedish,26,14,20,1978
