Country,Artist,Song,Language[7][8],Points,Place[9],Order,Year
United Kingdom,Brotherhood of Man,"""Save Your Kisses for Me""",English,164,1,1,1976
Switzerland,"Peter, Sue and Marc","""Djambo, Djambo""",English,91,4,2,1976
Germany,Les Humphries Singers,"""Sing Sang Song""","German, English",12,15,3,1976
Israel,"Chocolate, Menta, Mastik","""Emor Shalom"" (אמור שלום)",Hebrew,77,6,4,1976
Luxembourg,Jürgen Marcus,"""Chansons pour ceux qui s'aiment""",French,17,14,5,1976
Belgium,Pierre Rapsat,"""Judy et Cie""",French,68,8,6,1976
Ireland,Red Hurley,"""When""",English,54,10,7,1976
Netherlands,Sandra Reemer,"""The Party's Over""",English,56,9,8,1976
Norway,Anne-Karine Strøm,"""Mata Hari""",English,7,18,9,1976
Greece,Mariza Koch,"""Panagia mou, Panagia mou"" (Παναγιά μου, Παναγιά μου)",Greek,20,13,10,1976
Finland,Fredi and the Friends,"""Pump-Pump""",English,44,11,11,1976
Spain,Braulio,"""Sobran las palabras""",Spanish,11,16,12,1976
Italy,Al Bano and Romina Power,"""We'll Live It All Again""","English, Italian",69,7,13,1976
Austria,Waterloo and Robinson,"""My Little World""",English,80,5,14,1976
Portugal,Carlos do Carmo,"""Uma flor de verde pinho""",Portuguese,24,12,15,1976
Monaco,Mary Christy,"""Toi, la musique et moi""",French,93,3,16,1976
France,Catherine Ferry,"""Un, deux, trois""",French,147,2,17,1976
Yugoslavia,Ambasadori,"""Ne mogu skriti svoju bol"" (Не могу скрити своју бол)",Serbo-Croatian,10,17,18,1976
