Country[30],Artist[45],Song[45],Language[46],Points,Place[50],Order,Year
United Kingdom,Engelbert Humperdinck,"""Love Will Set You Free""",English,12,25,1,2012
Hungary,Compact Disco,"""Sound of Our Hearts""",English,19,24,2,2012
Albania,Rona Nishliu,"""Suus""",Albanian[c],146,5,3,2012
Lithuania,Donny Montell,"""Love Is Blind""",English,70,14,4,2012
Bosnia and Herzegovina,Maya Sar,"""Korake ti znam""",Bosnian,55,18,5,2012
Russia,Buranovskiye Babushki,"""Party for Everybody""","Udmurt, English",259,2,6,2012
Iceland,Greta Salóme and Jónsi,"""Never Forget""",English,46,20,7,2012
Cyprus,Ivi Adamou,"""La La Love""",English,65,16,8,2012
France,Anggun,"""Echo (You and I)""","French, English",21,22,9,2012
Italy,Nina Zilli,"""L'amore è femmina (Out of Love)""","English, Italian",101,9,10,2012
Estonia,Ott Lepland,"""Kuula""",Estonian,120,6,11,2012
Norway,Tooji,"""Stay""",English,7,26,12,2012
Azerbaijan,Sabina Babayeva,"""When the Music Dies""",English,150,4,13,2012
Romania,Mandinga,"""Zaleilah""","Spanish, English",71,12,14,2012
Denmark,Soluna Samay,"""Should've Known Better""",English,21,23,15,2012
Greece,Eleftheria Eleftheriou,"""Aphrodisiac""",English,64,17,16,2012
Sweden,Loreen,"""Euphoria""",English,372,1,17,2012
Turkey,Can Bonomo,"""Love Me Back""",English,112,7,18,2012
Spain,Pastora Soler,"""Quédate conmigo""",Spanish,97,10,19,2012
Germany,Roman Lob,"""Standing Still""",English,110,8,20,2012
Malta,Kurt Calleja,"""This Is the Night""",English,41,21,21,2012
Macedonia,Kaliopi,"""Crno i belo"" (Црно и бело)",Macedonian,71,13,22,2012
Ireland,Jedward,"""Waterline""",English,46,19,23,2012
Serbia,Željko Joksimović,"""Nije ljubav stvar"" (Није љубав ствар)",Serbian,214,3,24,2012
Ukraine,Gaitana,"""Be My Guest""",English,65,15,25,2012
Moldova,Pasha Parfeny,"""Lăutar""",English[f],81,11,26,2012
