Country,Artist,Song,Language[18][19],Points,Place[20],Order,Year
Austria,Marty Brem,"""Wenn du da bist""",German,20,17,1,1981
Turkey,Modern Folk Trio and Ayşegül,"""Dönme Dolap""",Turkish,9,18,2,1981
Germany,Lena Valaitis,"""Johnny Blue""",German,132,2,3,1981
Luxembourg,Jean-Claude Pascal,"""C'est peut-être pas l'Amérique""",French,41,11,4,1981
Israel,Habibi,"""Halayla"" (הלילה)",Hebrew,56,7,5,1981
Denmark,Debbie Cameron and Tommy Seebach,"""Krøller eller ej""",Danish,41,11,6,1981
Yugoslavia,Seid Memić Vajta,"""Lejla"" (Лејла)",Serbo-Croatian,35,15,7,1981
Finland,Riki Sorsa,"""Reggae OK""",Finnish,27,16,8,1981
France,Jean Gabilou,"""Humanahum""",French,125,3,9,1981
Spain,Bacchelli,"""Y sólo tú""",Spanish,38,14,10,1981
Netherlands,Linda Williams,"""Het is een wonder""",Dutch,51,9,11,1981
Ireland,Sheeba,"""Horoscopes""",English,105,5,12,1981
Norway,Finn Kalvik,"""Aldri i livet""",Norwegian,0,20,13,1981
United Kingdom,Bucks Fizz,"""Making Your Mind Up""",English,136,1,14,1981
Portugal,Carlos Paião,"""Playback""",Portuguese,9,18,15,1981
Belgium,Emly Starr,"""Samson""",Dutch,40,13,16,1981
Greece,Yiannis Dimitras,"""Feggari kalokerino"" (Φεγγάρι καλοκαιρινό)",Greek,55,8,17,1981
Cyprus,Island,"""Monika"" (Μόνικα)",Greek,69,6,18,1981
Switzerland,"Peter, Sue and Marc","""Io senza te""",Italian,121,4,19,1981
Sweden,Björn Skifs,"""Fångad i en dröm""",Swedish,50,10,20,1981
