Country,Artist,Song,Language[6][7],Points,Place[8],Order,Year
Sweden,Herreys,"""Diggi-Loo Diggi-Ley""",Swedish,145,1,1,1984
Luxembourg,Sophie Carle,"""100% d'amour""",French,39,10,2,1984
France,Annick Thoumazeau,"""Autant d'amoureux que d'étoiles""",French,61,8,3,1984
Spain,Bravo,"""Lady, Lady""",Spanish[a],106,3,4,1984
Norway,Dollie de Luxe,"""Lenge leve livet""",Norwegian,29,17,5,1984
United Kingdom,Belle and the Devotions,"""Love Games""",English,63,7,6,1984
Cyprus,Andy Paul,"""Anna Maria Lena"" (Άννα Μαρία Λένα)",Greek,31,15,7,1984
Belgium,Jacques Zegers,"""Avanti la vie""",French[b],70,5,8,1984
Ireland,Linda Martin,"""Terminal 3""",English,137,2,9,1984
Denmark,Hot Eyes,"""Det' lige det""",Danish,101,4,10,1984
Netherlands,Maribelle,"""Ik hou van jou""",Dutch,34,13,11,1984
Yugoslavia,Vlado and Isolda,"""Ciao, amore""",Serbo-Croatian[b],26,18,12,1984
Austria,Anita,"""Einfach weg""",German,5,19,13,1984
Germany,Mary Roos,"""Aufrecht geh'n""",German,34,13,14,1984
Turkey,"Beş Yıl Önce, On Yıl Sonra","""Halay""",Turkish,37,12,15,1984
Finland,Kirka,"""Hengaillaan""",Finnish,46,9,16,1984
Switzerland,Rainy Day,"""Welche Farbe hat der Sonnenschein?""",German,30,16,17,1984
Italy,Alice and Franco Battiato,"""I treni di Tozeur""",Italian[c],70,5,18,1984
Portugal,Maria Guinot,"""Silêncio e tanta gente""",Portuguese,38,11,19,1984
