Country,Artist,Song,Language,Points,Place,Order,Year
United Kingdom,Bryan Johnson,"""Looking High, High, High""",English,25,2,1,1960
Sweden,Siw Malmkvist,"""Alla andra får varann""",Swedish,4,10,2,1960
Luxembourg,Camillo Felgen,"""So laang we's du do bast""",Luxembourgish,1,13,3,1960
Denmark,Katy Bødtger,"""Det var en yndig tid""",Danish,4,10,4,1960
Belgium,Fud Leclerc,"""Mon amour pour toi""",French,9,6,5,1960
Norway,Nora Brockstedt,"""Voi Voi""",Norwegian[a],11,4,6,1960
Austria,Harry Winter,"""Du hast mich so fasziniert""",German,6,7,7,1960
Monaco,François Deguelt,"""Ce soir-là""",French,15,3,8,1960
Switzerland,Anita Traversi,"""Cielo e terra""",Italian,5,8,9,1960
Netherlands,Rudi Carrell,"""Wat een geluk""",Dutch,2,12,10,1960
Germany,Wyn Hoop,"""Bonne nuit ma chérie""",German[b],11,4,11,1960
Italy,Renato Rascel,"""Romantica""",Italian,5,8,12,1960
France,Jacqueline Boyer,"""Tom Pillibi""",French,32,1,13,1960
