Country,Artist,Song,Language[5][6],Points,Place[7],Order,Year
Netherlands,Conny Vandenbos,"""'t Is genoeg""",Dutch,5,11,1,1965
United Kingdom,Kathy Kirby,"""I Belong""",English,26,2,2,1965
Spain,Conchita Bautista,"""¡Qué bueno, qué bueno!""",Spanish,0,15,3,1965
Ireland,Butch Moore,"""Walking the Streets in the Rain""",English,11,6,4,1965
Germany,Ulla Wiesner,"""Paradies, wo bist du?""",German,0,15,5,1965
Austria,Udo Jürgens,"""Sag ihr, ich lass sie grüßen""",German,16,4,6,1965
Norway,Kirsti Sparboe,"""Karusell""",Norwegian,1,13,7,1965
Belgium,Lize Marke,"""Als het weer lente is""",Dutch,0,15,8,1965
Monaco,Marjorie Noël,"""Va dire à l'amour""",French,7,9,9,1965
Sweden,Ingvar Wixell,"""Absent Friend""",English,6,10,10,1965
France,Guy Mardel,"""N'avoue jamais""",French,22,3,11,1965
Portugal,Simone de Oliveira,"""Sol de inverno""",Portuguese,1,13,12,1965
Italy,Bobby Solo,"""Se piangi, se ridi""",Italian,15,5,13,1965
Denmark,Birgit Brüel,"""For din skyld""",Danish,10,7,14,1965
Luxembourg,France Gall,"""Poupée de cire, poupée de son""",French,32,1,15,1965
Finland,Viktor Klimenko,"""Aurinko laskee länteen""",Finnish,0,15,16,1965
Yugoslavia,Vice Vukov,"""Čežnja"" (Чежња)",Serbo-Croatian,2,12,17,1965
Switzerland,Yovanna,"""Non, à jamais sans toi""",French,8,8,18,1965
