Country,Artist,Song,Language[6][7],Points,Place[8],Order,Year
Austria,Blue Danube,"""Du bist Musik""",German,64,8,1,1980
Turkey,Ajda Pekkan,"""Pet'r Oil""",Turkish,23,15,2,1980
Greece,Anna Vissi and the Epikouri,"""Autostop"" (Ωτοστόπ)",Greek,30,13,3,1980
Luxembourg,Sophie and Magaly,"""Papa Pingouin""",French,56,9,4,1980
Morocco,Samira Bensaïd,"""Bitaqat Hub"" (بطاقة حب)",Arabic,7,18,5,1980
Italy,Alan Sorrenti,"""Non so che darei""",Italian,87,6,6,1980
Denmark,Bamses Venner,"""Tænker altid på dig""",Danish,25,14,7,1980
Sweden,Tomas Ledin,"""Just nu!""",Swedish,47,10,8,1980
Switzerland,Paola,"""Cinéma""",French,104,4,9,1980
Finland,Vesa-Matti Loiri,"""Huilumies""",Finnish,6,19,10,1980
Norway,Sverre Kjelsberg and Mattis Hætta,"""Sámiid ædnan""",Norwegian[a],15,16,11,1980
Germany,Katja Ebstein,"""Theater""",German,128,2,12,1980
United Kingdom,Prima Donna,"""Love Enough for Two""",English,106,3,13,1980
Portugal,José Cid,"""Um grande, grande amor""",Portuguese[b],71,7,14,1980
Netherlands,Maggie MacNeal,"""Amsterdam""",Dutch,93,5,15,1980
France,Profil,"""Hé, hé M'sieurs dames""",French,45,11,16,1980
Ireland,Johnny Logan,"""What's Another Year""",English,143,1,17,1980
Spain,Trigo Limpio,"""Quédate esta noche""",Spanish,38,12,18,1980
Belgium,Telex,"""Euro-Vision""",French,14,17,19,1980
