Country,Artist,Song,Language[4][5],Points,Place[6],Order,Year
Portugal,Carlos Mendes,"""Verão""",Portuguese,5,11,1,1968
Netherlands,Ronnie Tober,"""Morgen""",Dutch,1,16,2,1968
Belgium,Claude Lombard,"""Quand tu reviendras""",French,8,7,3,1968
Austria,Karel Gott,"""Tausend Fenster""",German,2,13,4,1968
Luxembourg,Chris Baldo and Sophie Garel,"""Nous vivrons d'amour""",French,5,11,5,1968
Switzerland,Gianni Mascolo,"""Guardando il sole""",Italian,2,13,6,1968
Monaco,Line and Willy,"""À chacun sa chanson""",French,8,7,7,1968
Sweden,Claes-Göran Hederström,"""Det börjar verka kärlek, banne mig""",Swedish,15,5,8,1968
Finland,Kristina Hautala,"""Kun kello käy""",Finnish,1,16,9,1968
France,Isabelle Aubret,"""La Source""",French,20,3,10,1968
Italy,Sergio Endrigo,"""Marianne""",Italian,7,10,11,1968
United Kingdom,Cliff Richard,"""Congratulations""",English,28,2,12,1968
Norway,Odd Børre,"""Stress""",Norwegian,2,13,13,1968
Ireland,Pat McGeegan,"""Chance of a Lifetime""",English,18,4,14,1968
Spain,Massiel,"""La, la, la""",Spanish,29,1,15,1968
Germany,Wencke Myhre,"""Ein Hoch der Liebe""",German,11,6,16,1968
Yugoslavia,Luci Capurso and Hamo Hajdarhodžić,"""Jedan dan"" (Један дан)",Serbo-Croatian,8,7,17,1968
