,Total score,Switzerland,Austria,Germany,Belgium,Denmark,Sweden,Luxembourg,France,Netherlands,Italy,Country,Year
0,13,1,1,4,4,0,1,0,1,1,0,Italy,1958
1,1,1,0,0,0,0,0,0,0,0,0,Netherlands,1958
2,27,1,7,1,1,9,1,1,0,0,6,France,1958
3,1,1,0,0,0,0,0,0,0,0,0,Luxembourg,1958
4,10,3,1,0,1,0,0,3,0,2,0,Sweden,1958
5,3,0,0,0,0,0,1,0,1,1,0,Denmark,1958
6,8,1,0,5,0,1,1,0,0,0,0,Belgium,1958
7,5,0,1,0,1,0,1,0,2,0,0,Germany,1958
8,8,2,0,0,1,0,1,1,3,0,0,Austria,1958
9,24,0,0,0,2,0,4,5,3,6,4,Switzerland,1958
