Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Belgium,Laura Tesoro,"""What's the Pressure""",English,181,10,1,2016
1,Czech Republic,Gabriela Gunčíková,"""I Stand""",English,41,25,2,2016
2,Netherlands,Douwe Bob,"""Slow Down""",English,153,11,3,2016
3,Azerbaijan,Samra,"""Miracle""",English,117,17,4,2016
4,Hungary,Freddie,"""Pioneer""",English,108,19,5,2016
5,Italy,Francesca Michielin,"""No Degree of Separation""","Italian, English",124,16,6,2016
6,Israel,Hovi Star,"""Made of Stars""",English,135,14,7,2016
7,Bulgaria,Poli Genova,"""If Love Was a Crime""","English, Bulgarian",307,4,8,2016
8,Sweden,Frans,"""If I Were Sorry""",English,261,5,9,2016
9,Germany,Jamie-Lee,"""Ghost""",English,11,26,10,2016
10,France,Amir,"""J'ai cherché""","French, English",257,6,11,2016
11,Poland,Michał Szpak,"""Color of Your Life""",English,229,8,12,2016
12,Australia,Dami Im,"""Sound of Silence""",English,511,2,13,2016
13,Cyprus,Minus One,"""Alter Ego""",English,96,21,14,2016
14,Serbia,Sanja Vučić ZAA,"""Goodbye (Shelter)""",English,115,18,15,2016
15,Lithuania,Donny Montell,"""I've Been Waiting for This Night""",English,200,9,16,2016
16,Croatia,Nina Kraljić,"""Lighthouse""",English,73,23,17,2016
17,Russia,Sergey Lazarev,"""You Are the Only One""",English,491,3,18,2016
18,Spain,Barei,"""Say Yay!""",English,77,22,19,2016
19,Latvia,Justs,"""Heartbeat""",English,132,15,20,2016
20,Ukraine,Jamala,"""1944""","English, Crimean Tatar",534,1,21,2016
21,Malta,Ira Losco,"""Walk on Water""",English,153,12,22,2016
22,Georgia,Nika Kocharov and Young Georgian Lolitaz,"""Midnight Gold""",English,104,20,23,2016
23,Austria,Zoë,"""Loin d'ici""",French,151,13,24,2016
24,United Kingdom,Joe and Jake,"""You're Not Alone""",English,62,24,25,2016
25,Armenia,Iveta Mukuchyan,"""LoveWave""",English,249,7,26,2016
