Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Austria,Marty Brem,"""Wenn du da bist""",German,20,17,1,1981
1,Turkey,Modern Folk Trio and Ayşegül,"""Dönme Dolap""",Turkish,9,18,2,1981
2,Germany,Lena Valaitis,"""Johnny Blue""",German,132,2,3,1981
3,Luxembourg,Jean-Claude Pascal,"""C'est peut-être pas l'Amérique""",French,41,11,4,1981
4,Israel,Habibi,"""Halayla"" (הלילה)",Hebrew,56,7,5,1981
5,Denmark,Debbie Cameron and Tommy Seebach,"""Krøller eller ej""",Danish,41,11,6,1981
6,Yugoslavia,Seid Memić Vajta,"""Lejla"" (Лејла)",Serbo-Croatian,35,15,7,1981
7,Finland,Riki Sorsa,"""Reggae OK""",Finnish,27,16,8,1981
8,France,Jean Gabilou,"""Humanahum""",French,125,3,9,1981
9,Spain,Bacchelli,"""Y sólo tú""",Spanish,38,14,10,1981
10,Netherlands,Linda Williams,"""Het is een wonder""",Dutch,51,9,11,1981
11,Ireland,Sheeba,"""Horoscopes""",English,105,5,12,1981
12,Norway,Finn Kalvik,"""Aldri i livet""",Norwegian,0,20,13,1981
13,United Kingdom,Bucks Fizz,"""Making Your Mind Up""",English,136,1,14,1981
14,Portugal,Carlos Paião,"""Playback""",Portuguese,9,18,15,1981
15,Belgium,Emly Starr,"""Samson""",Dutch,40,13,16,1981
16,Greece,Yiannis Dimitras,"""Feggari kalokerino"" (Φεγγάρι καλοκαιρινό)",Greek,55,8,17,1981
17,Cyprus,Island,"""Monika"" (Μόνικα)",Greek,69,6,18,1981
18,Switzerland,"Peter, Sue and Marc","""Io senza te""",Italian,121,4,19,1981
19,Sweden,Björn Skifs,"""Fångad i en dröm""",Swedish,50,10,20,1981
