Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Austria,Blue Danube,"""Du bist Musik""",German,64,8,1,1980
1,Turkey,Ajda Pekkan,"""Pet'r Oil""",Turkish,23,15,2,1980
2,Greece,Anna Vissi and the Epikouri,"""Autostop"" (Ωτοστόπ)",Greek,30,13,3,1980
3,Luxembourg,Sophie and Magaly,"""Papa Pingouin""",French,56,9,4,1980
4,Morocco,Samira Bensaïd,"""Bitaqat Hub"" (بطاقة حب)",Arabic,7,18,5,1980
5,Italy,Alan Sorrenti,"""Non so che darei""",Italian,87,6,6,1980
6,Denmark,Bamses Venner,"""Tænker altid på dig""",Danish,25,14,7,1980
7,Sweden,Tomas Ledin,"""Just nu!""",Swedish,47,10,8,1980
8,Switzerland,Paola,"""Cinéma""",French,104,4,9,1980
9,Finland,Vesa-Matti Loiri,"""Huilumies""",Finnish,6,19,10,1980
10,Norway,Sverre Kjelsberg and Mattis Hætta,"""Sámiid ædnan""",Norwegian[a],15,16,11,1980
11,Germany,Katja Ebstein,"""Theater""",German,128,2,12,1980
12,United Kingdom,Prima Donna,"""Love Enough for Two""",English,106,3,13,1980
13,Portugal,José Cid,"""Um grande, grande amor""",Portuguese[b],71,7,14,1980
14,Netherlands,Maggie MacNeal,"""Amsterdam""",Dutch,93,5,15,1980
15,France,Profil,"""Hé, hé M'sieurs dames""",French,45,11,16,1980
16,Ireland,Johnny Logan,"""What's Another Year""",English,143,1,17,1980
17,Spain,Trigo Limpio,"""Quédate esta noche""",Spanish,38,12,18,1980
18,Belgium,Telex,"""Euro-Vision""",French,14,17,19,1980
