Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Sweden,Marie Bergman and Roger Pontare,"""Stjärnorna""",Swedish,48,13,1,1994
1,Finland,CatCat,"""Bye Bye Baby""",Finnish[b],11,22,2,1994
2,Ireland,Paul Harrington and Charlie McGettigan,"""Rock 'n' Roll Kids""",English,226,1,3,1994
3,Cyprus,Evridiki,"""Ime anthropos ki ego"" (Είμαι άνθρωπος κι εγώ)",Greek,51,11,4,1994
4,Iceland,Sigga,"""Nætur""",Icelandic,49,12,5,1994
5,United Kingdom,Frances Ruffelle,"""We Will Be Free (Lonely Symphony)""",English,63,10,6,1994
6,Croatia,Tony Cetinski,"""Nek' ti bude ljubav sva""",Croatian,27,16,7,1994
7,Portugal,Sara Tavares,"""Chamar a música""",Portuguese,73,8,8,1994
8,Switzerland,Duilio,"""Sto pregando""",Italian,15,19,9,1994
9,Estonia,Silvi Vrait,"""Nagu merelaine""",Estonian,2,24,10,1994
10,Romania,Dan Bittman,"""Dincolo de nori""",Romanian,14,21,11,1994
11,Malta,Moira Stafrace and Christopher Scicluna,"""More than Love""",English,97,5,12,1994
12,Netherlands,Willeke Alberti,"""Waar is de zon""",Dutch,4,23,13,1994
13,Germany,Mekado,"""Wir geben 'ne Party""",German[b],128,3,14,1994
14,Slovakia,Martin Ďurinda and Tublatanka,"""Nekonečná pieseň""",Slovak,15,19,15,1994
15,Lithuania,Ovidijus Vyšniauskas,"""Lopšinė mylimai""",Lithuanian,0,25,16,1994
16,Norway,Elisabeth Andreasson and Jan Werner Danielsen,"""Duett""",Norwegian,76,6,17,1994
17,Bosnia and Herzegovina,Alma and Dejan,"""Ostani kraj mene""",Bosnian,39,15,18,1994
18,Greece,Kostas Bigalis and the Sea Lovers,"""To trehandiri (Diri Diri)"" (Το τρεχαντήρι (Ντίρι Ντίρι))",Greek,44,14,19,1994
19,Austria,Petra Frey,"""Für den Frieden der Welt""",German,19,17,20,1994
20,Spain,Alejandro Abad,"""Ella no es ella""",Spanish,17,18,21,1994
21,Hungary,Friderika Bayer,"""Kinek mondjam el vétkeimet?""",Hungarian,122,4,22,1994
22,Russia,Youddiph,"""Vechny strannik"" [n 1] (Вечный странник)",Russian,70,9,23,1994
23,Poland,Edyta Górniak,"""To nie ja!""",Polish,166,2,24,1994
24,France,Nina Morato,"""Je suis un vrai garçon""",French,74,7,25,1994
