Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Belgium,Bobbejaan Schoepen,"""Straatdeuntje""",Dutch,5,8,1,1957
1,Luxembourg,Danièle Dupré,"""Amours mortes (tant de peine)""",French,8,4,2,1957
2,United Kingdom,Patricia Bredin,"""All""",English,6,7,3,1957
3,Italy,Nunzio Gallo,"""Corde della mia chitarra""",Italian,7,6,4,1957
4,Austria,Bob Martin,"""Wohin, kleines Pony?""",German,3,10,5,1957
5,Netherlands,Corry Brokken,"""Net als toen""",Dutch,31,1,6,1957
6,Germany,Margot Hielscher,"""Telefon, Telefon""",German[b],8,4,7,1957
7,France,Paule Desjardins,"""La Belle amour""",French,17,2,8,1957
8,Denmark,Birthe Wilke and Gustav Winckler,"""Skibet skal sejle i nat""",Danish,10,3,9,1957
9,Switzerland,Lys Assia,"""L'Enfant que j'étais""",French,5,8,10,1957
