Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Israel,Imri,"""I Feel Alive""",English,39,23,1,2017
1,Poland,Kasia Moś,"""Flashlight""",English,64,22,2,2017
2,Belarus,Naviband,"""Story of My Life""",Belarusian[f],83,17,3,2017
3,Austria,Nathan Trent,"""Running on Air""",English,93,16,4,2017
4,Armenia,Artsvik,"""Fly with Me""",English,79,18,5,2017
5,Netherlands,OG3NE,"""Lights and Shadows""",English,150,11,6,2017
6,Moldova,SunStroke Project,"""Hey Mamma""",English,374,3,7,2017
7,Hungary,Joci Pápai,"""Origo""",Hungarian[d],200,8,8,2017
8,Italy,Francesco Gabbani,"""Occidentali's Karma""",Italian[g],334,6,9,2017
9,Denmark,Anja Nissen,"""Where I Am""",English,77,20,10,2017
10,Portugal,Salvador Sobral,"""Amar pelos dois""",Portuguese,758,1,11,2017
11,Azerbaijan,Dihaj,"""Skeletons""",English,120,14,12,2017
12,Croatia,Jacques Houdek,"""My Friend""","English, Italian",128,13,13,2017
13,Australia,Isaiah,"""Don't Come Easy""",English,173,9,14,2017
14,Greece,Demy,"""This Is Love""",English,77,19[h],15,2017
15,Spain,Manel Navarro,"""Do It for Your Lover""","Spanish, English",5,26,16,2017
16,Norway,Jowst[e],"""Grab the Moment""",English,158,10,17,2017
17,United Kingdom,Lucie Jones,"""Never Give Up on You""",English,111,15,18,2017
18,Cyprus,Hovig,"""Gravity""",English,68,21,19,2017
19,Romania,Ilinca feat. Alex Florea,"""Yodel It!""",English,282,7,20,2017
20,Germany,Levina,"""Perfect Life""",English,6,25,21,2017
21,Ukraine,O.Torvald,"""Time""",English,36,24,22,2017
22,Belgium,Blanche,"""City Lights""",English,363,4,23,2017
23,Sweden,Robin Bengtsson,"""I Can't Go On""",English,344,5,24,2017
24,Bulgaria,Kristian Kostov,"""Beautiful Mess""",English,615,2,25,2017
25,France,Alma,"""Requiem""","French, English",135,12,26,2017
