Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Portugal,Carlos Mendes,"""Verão""",Portuguese,5,11,1,1968
1,Netherlands,Ronnie Tober,"""Morgen""",Dutch,1,16,2,1968
2,Belgium,Claude Lombard,"""Quand tu reviendras""",French,8,7,3,1968
3,Austria,Karel Gott,"""Tausend Fenster""",German,2,13,4,1968
4,Luxembourg,Chris Baldo and Sophie Garel,"""Nous vivrons d'amour""",French,5,11,5,1968
5,Switzerland,Gianni Mascolo,"""Guardando il sole""",Italian,2,13,6,1968
6,Monaco,Line and Willy,"""À chacun sa chanson""",French,8,7,7,1968
7,Sweden,Claes-Göran Hederström,"""Det börjar verka kärlek, banne mig""",Swedish,15,5,8,1968
8,Finland,Kristina Hautala,"""Kun kello käy""",Finnish,1,16,9,1968
9,France,Isabelle Aubret,"""La Source""",French,20,3,10,1968
10,Italy,Sergio Endrigo,"""Marianne""",Italian,7,10,11,1968
11,United Kingdom,Cliff Richard,"""Congratulations""",English,28,2,12,1968
12,Norway,Odd Børre,"""Stress""",Norwegian,2,13,13,1968
13,Ireland,Pat McGeegan,"""Chance of a Lifetime""",English,18,4,14,1968
14,Spain,Massiel,"""La, la, la""",Spanish,29,1,15,1968
15,Germany,Wencke Myhre,"""Ein Hoch der Liebe""",German,11,6,16,1968
16,Yugoslavia,Luci Capurso and Hamo Hajdarhodžić,"""Jedan dan"" (Један дан)",Serbo-Croatian,8,7,17,1968
