Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,United Kingdom,Engelbert Humperdinck,"""Love Will Set You Free""",English,12,25,1,2012
1,Hungary,Compact Disco,"""Sound of Our Hearts""",English,19,24,2,2012
2,Albania,Rona Nishliu,"""Suus""",Albanian[c],146,5,3,2012
3,Lithuania,Donny Montell,"""Love Is Blind""",English,70,14,4,2012
4,Bosnia and Herzegovina,Maya Sar,"""Korake ti znam""",Bosnian,55,18,5,2012
5,Russia,Buranovskiye Babushki,"""Party for Everybody""","Udmurt, English",259,2,6,2012
6,Iceland,Greta Salóme and Jónsi,"""Never Forget""",English,46,20,7,2012
7,Cyprus,Ivi Adamou,"""La La Love""",English,65,16,8,2012
8,France,Anggun,"""Echo (You and I)""","French, English",21,22,9,2012
9,Italy,Nina Zilli,"""L'amore è femmina (Out of Love)""","English, Italian",101,9,10,2012
10,Estonia,Ott Lepland,"""Kuula""",Estonian,120,6,11,2012
11,Norway,Tooji,"""Stay""",English,7,26,12,2012
12,Azerbaijan,Sabina Babayeva,"""When the Music Dies""",English,150,4,13,2012
13,Romania,Mandinga,"""Zaleilah""","Spanish, English",71,12,14,2012
14,Denmark,Soluna Samay,"""Should've Known Better""",English,21,23,15,2012
15,Greece,Eleftheria Eleftheriou,"""Aphrodisiac""",English,64,17,16,2012
16,Sweden,Loreen,"""Euphoria""",English,372,1,17,2012
17,Turkey,Can Bonomo,"""Love Me Back""",English,112,7,18,2012
18,Spain,Pastora Soler,"""Quédate conmigo""",Spanish,97,10,19,2012
19,Germany,Roman Lob,"""Standing Still""",English,110,8,20,2012
20,Malta,Kurt Calleja,"""This Is the Night""",English,41,21,21,2012
21,Macedonia,Kaliopi,"""Crno i belo"" (Црно и бело)",Macedonian,71,13,22,2012
22,Ireland,Jedward,"""Waterline""",English,46,19,23,2012
23,Serbia,Željko Joksimović,"""Nije ljubav stvar"" (Није љубав ствар)",Serbian,214,3,24,2012
24,Ukraine,Gaitana,"""Be My Guest""",English,65,15,25,2012
25,Moldova,Pasha Parfeny,"""Lăutar""",English[f],81,11,26,2012
