Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Sweden,Herreys,"""Diggi-Loo Diggi-Ley""",Swedish,145,1,1,1984
1,Luxembourg,Sophie Carle,"""100% d'amour""",French,39,10,2,1984
2,France,Annick Thoumazeau,"""Autant d'amoureux que d'étoiles""",French,61,8,3,1984
3,Spain,Bravo,"""Lady, Lady""",Spanish[a],106,3,4,1984
4,Norway,Dollie de Luxe,"""Lenge leve livet""",Norwegian,29,17,5,1984
5,United Kingdom,Belle and the Devotions,"""Love Games""",English,63,7,6,1984
6,Cyprus,Andy Paul,"""Anna Maria Lena"" (Άννα Μαρία Λένα)",Greek,31,15,7,1984
7,Belgium,Jacques Zegers,"""Avanti la vie""",French[b],70,5,8,1984
8,Ireland,Linda Martin,"""Terminal 3""",English,137,2,9,1984
9,Denmark,Hot Eyes,"""Det' lige det""",Danish,101,4,10,1984
10,Netherlands,Maribelle,"""Ik hou van jou""",Dutch,34,13,11,1984
11,Yugoslavia,Vlado and Isolda,"""Ciao, amore""",Serbo-Croatian[b],26,18,12,1984
12,Austria,Anita,"""Einfach weg""",German,5,19,13,1984
13,Germany,Mary Roos,"""Aufrecht geh'n""",German,34,13,14,1984
14,Turkey,"Beş Yıl Önce, On Yıl Sonra","""Halay""",Turkish,37,12,15,1984
15,Finland,Kirka,"""Hengaillaan""",Finnish,46,9,16,1984
16,Switzerland,Rainy Day,"""Welche Farbe hat der Sonnenschein?""",German,30,16,17,1984
17,Italy,Alice and Franco Battiato,"""I treni di Tozeur""",Italian[c],70,5,18,1984
18,Portugal,Maria Guinot,"""Silêncio e tanta gente""",Portuguese,38,11,19,1984
