Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Finland,Marion Rung,"""Tipi-tii""",Finnish,4,7,1,1962
1,Belgium,Fud Leclerc,"""Ton nom""",French,0,13,2,1962
2,Spain,Victor Balaguer,"""Llámame""",Spanish,0,13,3,1962
3,Austria,Eleonore Schwarz,"""Nur in der Wiener Luft""",German,0,13,4,1962
4,Denmark,Ellen Winther,"""Vuggevise""",Danish,2,10,5,1962
5,Sweden,Inger Berggren,"""Sol och vår""",Swedish,4,7,6,1962
6,Germany,Conny Froboess,"""Zwei kleine Italiener""",German,9,6,7,1962
7,Netherlands,De Spelbrekers,"""Katinka""",Dutch,0,13,8,1962
8,France,Isabelle Aubret,"""Un premier amour""",French,26,1,9,1962
9,Norway,Inger Jacobsen,"""Kom sol, kom regn""",Norwegian,2,10,10,1962
10,Switzerland,Jean Philippe,"""Le Retour""",French,2,10,11,1962
11,Yugoslavia,Lola Novaković,"""Ne pali svetla u sumrak"" (Не пали светла у сумрак)",Serbo-Croatian,10,4,12,1962
12,United Kingdom,Ronnie Carroll,"""Ring-a-Ding Girl""",English,10,4,13,1962
13,Luxembourg,Camillo Felgen,"""Petit bonhomme""",French,11,3,14,1962
14,Italy,Claudio Villa,"""Addio, addio""",Italian,3,9,15,1962
15,Monaco,François Deguelt,"""Dis rien""",French,13,2,16,1962
