Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Norway,Kate Gulbrandsen,"""Mitt liv""",Norwegian,65,9,1,1987
1,Israel,Datner and Kushnir,"""Shir Habatlanim"" (שיר הבטלנים)",Hebrew,73,8,2,1987
2,Austria,Gary Lux,"""Nur noch Gefühl""",German,8,20,3,1987
3,Iceland,Halla Margrét,"""Hægt og hljótt""",Icelandic,28,16,4,1987
4,Belgium,Liliane Saint-Pierre,"""Soldiers of Love""",Dutch[a],56,11,5,1987
5,Sweden,Lotta Engberg,"""Boogaloo""",Swedish,50,12,6,1987
6,Italy,Umberto Tozzi and Raf,"""Gente di mare""",Italian,103,3,7,1987
7,Portugal,Nevada,"""Neste barco à vela""",Portuguese,15,18,8,1987
8,Spain,Patricia Kraus,"""No estás solo""",Spanish,10,19,9,1987
9,Turkey,Seyyal Taner and Lokomotif,"""Şarkım Sevgi Üstüne""",Turkish,0,22,10,1987
10,Greece,Bang,"""Stop"" (Στοπ)",Greek,64,10,11,1987
11,Netherlands,Marcha,"""Rechtop in de wind""",Dutch,83,5,12,1987
12,Luxembourg,Plastic Bertrand,"""Amour, amour""",French,4,21,13,1987
13,United Kingdom,Rikki,"""Only the Light""",English,47,13,14,1987
14,France,Christine Minier,"""Les Mots d'amour n'ont pas de dimanche""",French,44,14,15,1987
15,Germany,Wind,"""Laß die Sonne in dein Herz""",German,141,2,16,1987
16,Cyprus,Alexia,"""Aspro mavro"" (Άσπρο μαύρο)",Greek,80,7,17,1987
17,Finland,Vicky Rosti and Boulevard,"""Sata salamaa""",Finnish,32,15,18,1987
18,Denmark,Anne-Cathrine Herdorf and Bandjo,"""En lille melodi""",Danish,83,5,19,1987
19,Ireland,Johnny Logan,"""Hold Me Now""",English,172,1,20,1987
20,Yugoslavia,Novi fosili,"""Ja sam za ples"" (Ја сам за плес)",Serbo-Croatian[a],92,4,21,1987
21,Switzerland,Carol Rich,"""Moitié, moitié""",French,26,17,22,1987
