Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Netherlands,Patricia and Hearts of Soul,"""Waterman""",Dutch,7,7,1,1970
1,Switzerland,Henri Dès,"""Retour""",French,8,4,2,1970
2,Italy,Gianni Morandi,"""Occhi di ragazza""",Italian,5,8,3,1970
3,Yugoslavia,Eva Sršen,"""Pridi, dala ti bom cvet""",Slovene,4,11,4,1970
4,Belgium,Jean Vallée,"""Viens l'oublier""",French,5,8,5,1970
5,France,Guy Bonnet,"""Marie-Blanche""",French,8,4,6,1970
6,United Kingdom,Mary Hopkin,"""Knock, Knock Who's There?""",English,26,2,7,1970
7,Luxembourg,David Alexandre Winter,"""Je suis tombé du ciel""",French,0,12,8,1970
8,Spain,Julio Iglesias,"""Gwendolyne""",Spanish,8,4,9,1970
9,Monaco,Dominique Dussault,"""Marlène""",French,5,8,10,1970
10,Germany,Katja Ebstein,"""Wunder gibt es immer wieder""",German,12,3,11,1970
11,Ireland,Dana,"""All Kinds of Everything""",English,32,1,12,1970
