Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Finland,Marion Rung,"""Tom Tom Tom""",English,93,6,1,1973
1,Belgium,Nicole and Hugo,"""Baby, Baby""",Dutch[a],58,17,2,1973
2,Portugal,Fernando Tordo,"""Tourada""",Portuguese,80,10,3,1973
3,Germany,Gitte,"""Junger Tag""",German,85,8,4,1973
4,Norway,Bendik Singers,"""It's Just a Game""","English, French[b]",89,7,5,1973
5,Monaco,Marie,"""Un train qui part""",French,85,8,6,1973
6,Spain,Mocedades,"""Eres tú""",Spanish,125,2,7,1973
7,Switzerland,Patrick Juvet,"""Je vais me marier, Marie""",French,79,12,8,1973
8,Yugoslavia,Zdravko Čolić,"""Gori vatra"" (Гори ватра)",Serbo-Croatian,65,15,9,1973
9,Italy,Massimo Ranieri,"""Chi sarà con te""",Italian,74,13,10,1973
10,Luxembourg,Anne-Marie David,"""Tu te reconnaîtras""",French,129,1,11,1973
11,Sweden,The Nova and the Dolls,"""You're Summer""",English,94,5,12,1973
12,Netherlands,Ben Cramer,"""De oude muzikant""",Dutch,69,14,13,1973
13,Ireland,Maxi,"""Do I Dream""",English,80,10,14,1973
14,United Kingdom,Cliff Richard,"""Power to All Our Friends""",English,123,3,15,1973
15,France,Martine Clémenceau,"""Sans toi""",French,65,15,16,1973
16,Israel,Ilanit,"""Ey Sham"" (אי שם)",Hebrew,97,4,17,1973
