Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Luxembourg,Hugues Aufray,"""Dès que le printemps revient""",French,14,4,1,1964
1,Netherlands,Anneke Grönloh,"""Jij bent mijn leven""",Dutch,2,10,2,1964
2,Norway,Arne Bendiksen,"""Spiral""",Norwegian,6,8,3,1964
3,Denmark,Bjørn Tidmand,"""Sangen om dig""",Danish,4,9,4,1964
4,Finland,Lasse Mårtenson,"""Laiskotellen""",Finnish[a],9,7,5,1964
5,Austria,Udo Jürgens,"""Warum nur, warum?""",German,11,6,6,1964
6,France,Rachel,"""Le Chant de Mallory""",French,14,4,7,1964
7,United Kingdom,Matt Monro,"""I Love the Little Things""",English,17,2,8,1964
8,Germany,Nora Nova,"""Man gewöhnt sich so schnell an das Schöne""",German,0,13,9,1964
9,Monaco,Romuald,"""Où sont-elles passées""",French,15,3,10,1964
10,Portugal,António Calvário,"""Oração""",Portuguese,0,13,11,1964
11,Italy,Gigliola Cinquetti,"""Non ho l'età""",Italian,49,1,12,1964
12,Yugoslavia,Sabahudin Kurt,"""Život je sklopio krug"" (Живот је склопио круг)",Serbo-Croatian,0,13,13,1964
13,Switzerland,Anita Traversi,"""I miei pensieri""",Italian,0,13,14,1964
14,Belgium,Robert Cogoi,"""Près de ma rivière""",French,2,10,15,1964
15,Spain,"Tim, Nelly and Tony","""Caracola""",Spanish,1,12,16,1964
