Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Austria,Marianne Mendt,"""Musik""",Viennese German,66,16,1,1971
1,Malta,Joe Grech,"""Marija l-Maltija""",Maltese,52,18,2,1971
2,Monaco,Séverine,"""Un banc, un arbre, une rue""",French,128,1,3,1971
3,Switzerland,"Peter, Sue and Marc","""Les Illusions de nos vingt ans""",French,78,12,4,1971
4,Germany,Katja Ebstein,"""Diese Welt""",German,100,3,5,1971
5,Spain,Karina,"""En un mundo nuevo""",Spanish,116,2,6,1971
6,France,Serge Lama,"""Un jardin sur la terre""",French,82,10,7,1971
7,Luxembourg,Monique Melsen,"""Pomme, pomme, pomme""",French,70,13,8,1971
8,United Kingdom,Clodagh Rodgers,"""Jack in the Box""",English,98,4,9,1971
9,Belgium,Lily Castel and Jacques Raymond,"""Goeiemorgen, morgen""",Dutch,68,14,10,1971
10,Italy,Massimo Ranieri,"""L'amore è un attimo""",Italian,91,5,11,1971
11,Sweden,Family Four,"""Vita vidder""",Swedish,85,6,12,1971
12,Ireland,Angela Farrell,"""One Day Love""",English,79,11,13,1971
13,Netherlands,Saskia and Serge,"""Tijd""",Dutch,85,6,14,1971
14,Portugal,Tonicha,"""Menina do alto da serra""",Portuguese,83,9,15,1971
15,Yugoslavia,Krunoslav Slabinac,"""Tvoj dječak je tužan"" (Твој дјечак је тужан)",Serbo-Croatian,68,14,16,1971
16,Finland,Markku Aro and Koivisto Sisters,"""Tie uuteen päivään""",Finnish,84,8,17,1971
17,Norway,Hanne Krogh,"""Lykken er...""",Norwegian,65,17,18,1971
