Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Portugal,Manuela Bravo,"""Sobe, sobe, balão sobe""",Portuguese,64,9,1,1979
1,Italy,Matia Bazar,"""Raggio di luna""",Italian,27,15,2,1979
2,Denmark,Tommy Seebach,"""Disco Tango""",Danish,76,6,3,1979
3,Ireland,Cathal Dunne,"""Happy Man""",English,80,5,4,1979
4,Finland,Katri Helena,"""Katson sineen taivaan""",Finnish,38,14,5,1979
5,Monaco,Laurent Vaguener,"""Notre vie c'est la musique""",French,12,16,6,1979
6,Greece,Elpida,"""Socrates"" (Σωκράτη)",Greek,69,8,7,1979
7,Switzerland,"Peter, Sue and Marc, Pfuri, Gorps and Kniri","""Trödler und Co""",German,60,10,8,1979
8,Germany,Dschinghis Khan,"""Dschinghis Khan""",German,86,4,9,1979
9,Israel,Milk and Honey,"""Hallelujah"" (הללויה)",Hebrew,125,1,10,1979
10,France,Anne-Marie David,"""Je suis l'enfant soleil""",French,106,3,11,1979
11,Belgium,Micha Marah,"""Hey Nana""",Dutch,5,18,12,1979
12,Luxembourg,Jeane Manson,"""J'ai déjà vu ça dans tes yeux""",French,44,13,13,1979
13,Netherlands,Xandra,"""Colorado""",Dutch,51,12,14,1979
14,Sweden,Ted Gärdestad,"""Satellit""",Swedish,8,17,15,1979
15,Norway,Anita Skorgan,"""Oliver""",Norwegian,57,11,16,1979
16,United Kingdom,Black Lace,"""Mary Ann""",English,73,7,17,1979
17,Austria,Christina Simon,"""Heute in Jerusalem""",German,5,18,18,1979
18,Spain,Betty Missiego,"""Su canción""",Spanish,116,2,19,1979
