Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Germany,Mary Roos,"""Nur die Liebe läßt uns leben""",German,107,3,1,1972
1,France,Betty Mars,"""Comé-comédie""",French,81,11,2,1972
2,Ireland,Sandie Jones,"""Ceol an Ghrá""",Irish,72,15,3,1972
3,Spain,Jaime Morey,"""Amanece""",Spanish,83,10,4,1972
4,United Kingdom,The New Seekers,"""Beg, Steal or Borrow""",English,114,2,5,1972
5,Norway,Grethe Kausland and Benny Borg,"""Småting""",Norwegian,73,14,6,1972
6,Portugal,Carlos Mendes,"""A festa da vida""",Portuguese,90,7,7,1972
7,Switzerland,Véronique Müller,"""C'est la chanson de mon amour""",French,88,8,8,1972
8,Malta,Helen and Joseph,"""L-imħabba""",Maltese,48,18,9,1972
9,Finland,Päivi Paunu and Kim Floor,"""Muistathan""",Finnish,78,12,10,1972
10,Austria,Milestones,"""Falter im Wind""",German,100,5,11,1972
11,Italy,Nicola Di Bari,"""I giorni dell'arcobaleno""",Italian,92,6,12,1972
12,Yugoslavia,Tereza Kesovija,"""Muzika i ti"" (Музика и ти)",Serbo-Croatian,87,9,13,1972
13,Sweden,Family Four,"""Härliga sommardag""",Swedish,75,13,14,1972
14,Monaco,Anne-Marie Godart and Peter MacLane,"""Comme on s'aime""",French,65,16,15,1972
15,Belgium,Serge and Christine Ghisoland,"""À la folie ou pas du tout""",French,55,17,16,1972
16,Luxembourg,Vicky Leandros,"""Après toi""",French,128,1,17,1972
17,Netherlands,Sandra and Andres,"""Als het om de liefde gaat""",Dutch,106,4,18,1972
