Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,France,Jean Philippe,"""Oui, oui, oui, oui""",French,15,3,1,1959
1,Denmark,Birthe Wilke,"""Uh, jeg ville ønske jeg var dig""",Danish,12,5,2,1959
2,Italy,Domenico Modugno,"""Piove (Ciao, ciao bambina)""",Italian,9,6,3,1959
3,Monaco,Jacques Pills,"""Mon ami Pierrot""",French,1,11,4,1959
4,Netherlands,Teddy Scholten,"""Een beetje""",Dutch,21,1,5,1959
5,Germany,Alice and Ellen Kessler,"""Heute Abend wollen wir tanzen geh'n""",German,5,8,6,1959
6,Sweden,Brita Borg,"""Augustin""",Swedish,4,9,7,1959
7,Switzerland,Christa Williams,"""Irgendwoher""",German,14,4,8,1959
8,Austria,Ferry Graf,"""Der K und K Kalypso aus Wien""",German,4,9,9,1959
9,United Kingdom,Pearl Carr and Teddy Johnson,"""Sing, Little Birdie""",English,16,2,10,1959
10,Belgium,Bob Benny,"""Hou toch van mij""",Dutch,9,6,11,1959
