Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Netherlands,Thérèse Steinmetz,"""Ring-dinge-ding""",Dutch,2,14,1,1967
1,Luxembourg,Vicky,"""L'Amour est bleu""",French,17,4,2,1967
2,Austria,Peter Horten,"""Warum es hunderttausend Sterne gibt""",German,2,14,3,1967
3,France,Noëlle Cordier,"""Il doit faire beau là-bas""",French,20,3,4,1967
4,Portugal,Eduardo Nascimento,"""O vento mudou""",Portuguese,3,12,5,1967
5,Switzerland,Géraldine,"""Quel cœur vas-tu briser ?""",French,0,17,6,1967
6,Sweden,Östen Warnerbring,"""Som en dröm""",Swedish,7,8,7,1967
7,Finland,Fredi,"""Varjoon – suojaan""",Finnish,3,12,8,1967
8,Germany,Inge Brück,"""Anouschka""",German,7,8,9,1967
9,Belgium,Louis Neefs,"""Ik heb zorgen""",Dutch,8,7,10,1967
10,United Kingdom,Sandie Shaw,"""Puppet on a String""",English,47,1,11,1967
11,Spain,Raphael,"""Hablemos del amor""",Spanish,9,6,12,1967
12,Norway,Kirsti Sparboe,"""Dukkemann""",Norwegian,2,14,13,1967
13,Monaco,Minouche Barelli,"""Boum-Badaboum""",French,10,5,14,1967
14,Yugoslavia,Lado Leskovar,"""Vse rože sveta""",Slovene,7,8,15,1967
15,Italy,Claudio Villa,"""Non andare più lontano""",Italian,4,11,16,1967
16,Ireland,Sean Dunphy,"""If I Could Choose""",English,22,2,17,1967
