Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Romania,Nico and Vlad,"""Pe-o margine de lume""","Romanian, Italian",45,20,1,2008
1,United Kingdom,Andy Abraham,"""Even If""",English,14,25,2,2008
2,Albania,Olta Boka,"""Zemrën e lamë peng""",Albanian,55,17,3,2008
3,Germany,No Angels,"""Disappear""",English,14,23,4,2008
4,Armenia,Sirusho,"""Qélé, Qélé"" (Քելե Քելե)","English, Armenian",199,4,5,2008
5,Bosnia and Herzegovina,Laka,"""Pokušaj""",Bosnian,110,10,6,2008
6,Israel,Boaz,"""The Fire in Your Eyes""",Hebrew[a],124,9,7,2008
7,Finland,Teräsbetoni,"""Missä miehet ratsastaa""",Finnish,35,22,8,2008
8,Croatia,Kraljevi ulice and 75 Cents,"""Romanca""",Croatian,44,21,9,2008
9,Poland,Isis Gee,"""For Life""",English,14,24,10,2008
10,Iceland,Euroband,"""This Is My Life""",English,64,14,11,2008
11,Turkey,Mor ve Ötesi,"""Deli""",Turkish,138,7,12,2008
12,Portugal,Vânia Fernandes,"""Senhora do mar (negras águas)""",Portuguese,69,13,13,2008
13,Latvia,Pirates of the Sea,"""Wolves of the Sea""",English,83,12,14,2008
14,Sweden,Charlotte Perrelli,"""Hero""",English,47,18,15,2008
15,Denmark,Simon Mathew,"""All Night Long""",English,60,15,16,2008
16,Georgia,Diana Gurtskaya,"""Peace Will Come""",English,83,11,17,2008
17,Ukraine,Ani Lorak,"""Shady Lady""",English,230,2,18,2008
18,France,Sébastien Tellier,"""Divine""",English[f],47,19,19,2008
19,Azerbaijan,Elnur and Samir,"""Day After Day""",English,132,8,20,2008
20,Greece,Kalomira,"""Secret Combination""",English,218,3,21,2008
21,Spain,Rodolfo Chikilicuatre,"""Baila el Chiki Chiki""","Spanish, English",55,16,22,2008
22,Serbia,Jelena Tomašević feat. Bora Dugić,"""Oro"" (Оро)",Serbian,160,6,23,2008
23,Russia,Dima Bilan,"""Believe""",English,272,1,24,2008
24,Norway,Maria,"""Hold On Be Strong""",English,182,5,25,2008
